0,Description,Typical Array,Mean,Std,5%,95%
1,"1.Sum of 3d6, 6 Rolls",6.77; 8.55; 9.88; 11.12; 12.45; 14.23,3.01,11.06,-15,21
2,"2.Sum of 3d6, 6 Rolls, Best of 3 Arrays",7.76; 9.52; 10.85; 12.1; 13.48; 15.28,12.29,8.42,-1,27
3,"3.Sum of 3d6, 6 Rolls, Best of 6 Arrays",8.19; 9.96; 11.31; 12.61; 14.03; 15.84,17.01,7.52,6,30
4,"4.Sum of 3d6, Reroll 1s, 6 Rolls",8.92; 10.39; 11.49; 12.51; 13.62; 15.08,15.89,9.19,2,32
5,"5.Sum of 3d6, Reroll 1s, 6 Rolls, Best of 3 Arrays",9.56; 11.11; 12.28; 13.37; 14.55; 16.04,23.78,7.76,12,38
6,"6.Sum of 3d6, Reroll 1s, 6 Rolls, Best of 6 Arrays",9.86; 11.46; 12.67; 13.81; 15.02; 16.48,28.12,7.07,18,41
7,"7.Sum of 3d6, Reroll 1s/2s, 6 Rolls",11.07; 12.22; 13.09; 13.9; 14.77; 15.93,28.78,9.03,15,45
8,"8.Sum of 3d6, Reroll 1s/2s, 6 Rolls, Best of 3 Arrays",11.53; 12.79; 13.74; 14.61; 15.53; 16.67,36.57,7.6,25,50
9,"9.Sum of 3d6, Reroll 1s/2s, 6 Rolls, Best of 6 Arrays",11.78; 13.1; 14.09; 14.97; 15.9; 16.98,40.82,6.85,31,53
10,"10.Sum of 3d6, Best 6 of 7 Rolls",8.2; 9.42; 10.5; 11.58; 12.8; 14.48,9.09,9.97,-7,26
11,"11.Sum of 3d6, Best 6 of 7 Rolls, Best of 3 Arrays",9.01; 10.29; 11.43; 12.56; 13.85; 15.56,17.53,8.07,6,32
12,"12.Sum of 3d6, Best 6 of 7 Rolls, Best of 6 Arrays",9.35; 10.68; 11.87; 13.05; 14.4; 16.1,22.04,7.34,11,35
13,"13.Sum of 3d6, Reroll 1s, Best 6 of 7 Rolls",10.1; 11.1; 12.0; 12.9; 13.91; 15.28,20.09,9.2,6,36
14,"14.Sum of 3d6, Reroll 1s, Best 6 of 7 Rolls, Best of 3 Arrays",10.68; 11.78; 12.76; 13.73; 14.81; 16.21,28,7.86,16,42
15,"15.Sum of 3d6, Reroll 1s, Best 6 of 7 Rolls, Best of 6 Arrays",10.97; 12.12; 13.14; 14.16; 15.27; 16.62,32.39,7.15,22,45
16,"16.Sum of 3d6, Reroll 1s/2s, Best 6 of 7 Rolls",12.0; 12.79; 13.5; 14.21; 15.0; 16.08,32.66,9.3,19,49
17,"17.Sum of 3d6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 3 Arrays",12.47; 13.35; 14.13; 14.89; 15.72; 16.78,40.68,7.76,29,54
18,"18.Sum of 3d6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 6 Arrays",12.72; 13.65; 14.46; 15.23; 16.07; 17.07,45.02,6.97,35,57
19,"19.Sum of 3d6, Best 6 of 9 Rolls",9.65; 10.5; 11.34; 12.25; 13.32; 14.84,15.42,9.44,1,32
20,"20.Sum of 3d6, Reroll 1s, Best 6 of 9 Rolls",11.3; 12.0; 12.7; 13.45; 14.33; 15.58,25.56,9.42,12,42
21,"21.Sum of 3d6, Reroll 1s/2s, Best 6 of 9 Rolls",12.95; 13.5; 14.05; 14.64; 15.34; 16.32,38.35,9.61,24,55
22,"22.Sum of 3d6, Best 6 of 12 Rolls",10.82; 11.47; 12.15; 12.92; 13.86; 15.23,21.21,9.52,7,38
23,"23.Sum of 3d6, Reroll 1s, Best 6 of 12 Rolls",12.26; 12.8; 13.37; 14.0; 14.78; 15.9,31.34,9.77,17,49
24,"24.Sum of 3d6, Reroll 1s/2s, Best 6 of 12 Rolls",13.71; 14.13; 14.58; 15.08; 15.69; 16.57,44.58,9.72,30,61
25,"25.Sum the Best 3 of 4d6, 6 Rolls",8.31; 10.13; 11.41; 12.56; 13.77; 15.32,15.56,10.79,-1,34
26,"26.Sum the Best 3 of 4d6, 6 Rolls, Best of 3 Arrays",9.21; 11.01; 12.31; 13.5; 14.76; 16.26,24.73,8.67,12,40
27,"27.Sum the Best 3 of 4d6, 6 Rolls, Best of 6 Arrays",9.59; 11.42; 12.76; 13.99; 15.26; 16.68,29.58,7.79,18,43
28,"28.Sum the Best 3 of 4d6, Reroll 1s, 6 Rolls",10.18; 11.69; 12.75; 13.7; 14.7; 15.98,26.64,10.07,11,44
29,"29.Sum the Best 3 of 4d6, Reroll 1s, 6 Rolls, Best of 3 Arrays",10.83; 12.4; 13.52; 14.52; 15.55; 16.76,35.3,8.37,23,50
30,"30.Sum the Best 3 of 4d6, Reroll 1s, 6 Rolls, Best of 6 Arrays",11.15; 12.77; 13.92; 14.94; 15.96; 17.08,40,7.5,29,53
31,"31.Sum the Best 3 of 4d6, Reroll 1s/2s, 6 Rolls",12.04; 13.24; 14.09; 14.84; 15.63; 16.63,39.37,9.92,24,56
32,"32.Sum the Best 3 of 4d6, Reroll 1s/2s, 6 Rolls, Best of 3 Arrays",12.57; 13.85; 14.73; 15.5; 16.3; 17.21,47.91,8.02,36,62
